address,city,floor,price,rooms,sq,year,price_per_sq
Podgórze,Kraków,2.0,749000.0,3.0,74.05,2021.0,10114.78730587441
Krowodrza,Kraków,2.0,427000.0,2.0,37.0,1970.0,11540.54054054054
Nowa Huta,Kraków,2.0,414600.0,1.0,34.55,2022.0,12000.000000000002
Podgórze,Kraków,0.0,750000.0,4.0,81.4,2021.0,9213.759213759213
Nowa Huta,Kraków,1.0,756707.4,4.0,82.43,2021.0,9180.0
Stare Miasto,Kraków,0.0,949000.0,2.0,84.8,1936.0,11191.037735849057
Prądnik Biały,Kraków,6.0,405900.0,2.0,41.0,2022.0,9900.0
Dębniki,Kraków,4.0,699000.0,2.0,60.0,2010.0,11650.0
Nowa Huta,Kraków,2.0,529000.0,3.0,53.84,2021.0,9825.408618127783
Zwierzyniec,Kraków,0.0,899000.0,3.0,74.44,2020.0,12076.84040838259
Podgórze Duchackie,Kraków,6.0,539000.0,3.0,57.81,2021.0,9323.64642795364
Grzegórzki,Kraków,8.0,971904.0,3.0,75.93,2021.0,12799.999999999998
Dębniki,Kraków,1.0,266500.0,1.0,31.59,2020.0,8436.213991769548
Nowa Huta,Kraków,6.0,498000.0,2.0,49.08,2019.0,10146.699266503669
Krowodrza,Kraków,10.0,455000.0,3.0,45.0,1976.0,10111.111111111111
Bronowice,Kraków,4.0,1038636.0,3.0,88.02,2021.0,11800.0
